Sr No,Entry date,Source,Source id,Vertical Name,Organisation Name,Place,State,Tender Type (GeM / Non GeM),TENDER ID,LINK,PUBLISH DATE,Start Date,End Date,Time,Pre Bid Date,Corrigendum Remark,Product Name As per Tender,Product Name As per MarkEn,Bid Qty,Quoted Qty
1,"2026-05-24","Tender247","GEM/2026/B/7352792","Centrifuge","Gujarat State Electricity Corporation Limited","Bharuch","Gujarat","GeM","99316347","https://www.tender247.com/auth/tender/99316347/29fe802d-5a3a-463d-8ded-b71696e64979/1003059","10-04-2026","10-04-2026","2026-05-28","N/A","N/A","Corrigendum published","corrigendum : supply of - refrigerated centrifuge -  | quantity - 22","GeMARPTS म) खोजी गई ,&-ं.स / Searched","22","22"
2,"2026-05-24","Tender247","GEM/2026/B/7570015","HVAC","All India Institute Of Medical Sciences","Raipur","Chhattisgarh","GeM","100575724","https://www.tender247.com/auth/tender/100575724/b9447510-de95-46e0-b8cb-01ffd815155e/1003059","21-05-2026","21-05-2026","2026-06-12","N/A","N/A","N/A","operation and maintenance of hvac system (heating, ventilation and air conditioning system) - complete system","अनुबंध अविध /Contract Period","1","1"
3,"2026-05-24","Tender247","DMC/ P.I.Cell/01/2026-27,Work No.04:307531:","HVAC","Surat Municipal Corporation","Surat","Gujarat","Non GeM","100594819","https://www.tender247.com/auth/tender/100594819/0481195c-04c5-48b5-b92c-70974f62355d/1003059","N/A","N/A","2026-06-01","N/A","N/A","N/A","sitc of hvac, electrification& elv works at 7 years c.a.m.c work of hvac system for neonatal icu (n.i.c.u) of smimmer hospital at smimer of surat municipal corporation(2nd attempt)","HVAC","1","1"
4,"2026-05-24","Tender247","GEM/2026/B/7345778","Deep Freezer","Urban Development And Urban Housing Construction Department","Surat","Gujarat","GeM","99853520","https://www.tender247.com/auth/tender/99853520/f0209948-1bff-4479-a3f7-01f4234409f6/1003059","29-04-2026","29-04-2026","2026-05-30","N/A","N/A","Corrigendum published","corrigendum : supply of - deep freezer for universal immunization program (q3) -  | quantity - 26","एमएसएमई के िलए अनुभव के वष. और टन%ओवर से छूट 4दान","26","26"
5,"2026-05-24","Tender247","100584185","HVAC","Punjab National Bank","Burdwan","West Bengal","Non GeM","100584185","https://www.tender247.com/auth/tender/100584185/58e149f5-971f-4ef0-874a-66e811e00d43/1003059","N/A","N/A","2026-05-29","N/A","N/A","N/A","carrying out furnishing, interior, civil, electrical & hvac related works of existing branch mollarpurdakshingram branch (d. no.320200)","HVAC","1","1"
6,"2026-05-24","Tender247","703316-NIT No.06/DB/EE/Gajularamaram Circle-57/QBZ/CMC/2026-27 Dt.21.05.2026 (Item No.01)","Others","Greater Hyderabad Municipal Corporation","Hyderabad","Telangana","Non GeM","100594437","https://www.tender247.com/auth/tender/100594437/51ba2753-96e2-499d-a87e-38131640c64f/1003059","01-07-2003","01-07-2003","2026-05-25","N/A","N/A","N/A","providing toilets, partitions, ac, coolers and sump at gajularamaram circle office, mahadevapuram, gajularamaram circle 57 quthbullapur zone, cmc (reserved for sc) completion period: 2 months, rs.16.00 lakhs (recall)","Others","1","1"
7,"2026-05-24","Tender247","GEM/2026/B/7328966","Others","Employees State Insurance Corporation","Bhopal","Madhya Pradesh","GeM","99473173","https://www.tender247.com/auth/tender/99473173/761e7a6a-764d-418b-84de-ab89c1adda09/1003059","16-04-2026","16-04-2026","2026-05-28","N/A","N/A","Corrigendum published","corrigendum : supply of - foldable wheelchair (adult) (q2) , treatment couch (v2) (q2) , medicine trolley (q2) , saline stand (v2) (q3) , mobile folding privacy screen  ward screen (q3) , clinical cabinets (q3) , instrument trolley (q2) -  | quantity - 175","बडर का )यूनतम औसत वाष%क टन%ओवर (3 वष0 का)","175","175"
8,"2026-05-24","Tender247","SDSTE-AMC-DATA-LOGGER-25","Others","Eastern Railway","Howrah","West Bengal","Non GeM","100598015","https://www.tender247.com/auth/tender/100598015/689f3a07-15a2-48f4-a21c-98587d2f7d06/1003059","N/A","N/A","2026-06-15","N/A","N/A","N/A","comprehensive annual maintenance contract) for maintenance of voice data logger for a period of 3 year","Others","1","1"
9,"2026-05-24","Tender247","GEM/2026/B/7473140","Others","Urban Development And Urban Housing Construction Department","Surat","Gujarat","GeM","99893896","https://www.tender247.com/auth/tender/99893896/5634cb38-1845-4ae6-87e9-294a5acaf358/1003059","30-04-2026","30-04-2026","2026-05-28","N/A","N/A","Corrigendum published","corrigendum : supply of - blood collection monitor (v2) (q2) -  | quantity - 5","एमएसएमई के िलए अनुभव के वष. और टन%ओवर से छूट 4दान","5","5"
10,"2026-05-24","Tender247","MHS2627GSRC01031","Others","Medical And Health Services","Jaipur","Rajasthan","Non GeM","100558785","https://www.tender247.com/auth/tender/100558785/144f9969-0a19-473c-8be8-f7bed5d1575a/1003059","N/A","N/A","2026-05-30","N/A","N/A","N/A","supply of air conditioner, refrigerator, laptop, desert cooler, cctv camera","Others","1","1"
